Time Step (s),Cycle Speed (m/s),Grade,Temperature (C),Running Status
cycSecs,cycMps,cycGrade,cycTemp,Run On/Off
0,22.361,0,26,RunOn
1,21.901,0,26,RunOn
2,21.441,0,26,RunOn
3,20.981,0,26,RunOn
4,20.522,0,26,RunOn
5,20.062,0,26,RunOn
6,19.602,0,26,RunOn
7,19.142,0,26,RunOn
8,18.682,0,26,RunOn
9,18.222,0,26,RunOn
10,18.222,0,26,RunOn
11,18.364,0,26,RunOn
12,18.506,0,26,RunOn
13,18.648,0,26,RunOn
14,18.79,0,26,RunOn
15,18.932,0,26,RunOn
16,19.074,0,26,RunOn
17,19.216,0,26,RunOn
18,19.358,0,26,RunOn
19,19.5,0,26,RunOn
20,19.5,0,26,RunOn
21,19.336,0,26,RunOn
22,19.173,0,26,RunOn
23,19.009,0,26,RunOn
24,18.846,0,26,RunOn
25,18.682,0,26,RunOn
26,18.519,0,26,RunOn
27,18.355,0,26,RunOn
28,18.191,0,26,RunOn
29,18.028,0,26,RunOn
30,18.028,0,26,RunOn
31,17.5,0,26,RunOn
32,16.972,0,26,RunOn
33,16.444,0,26,RunOn
34,15.917,0,26,RunOn
35,15.389,0,26,RunOn
36,14.861,0,26,RunOn
37,14.333,0,26,RunOn
38,13.806,0,26,RunOn
39,13.278,0,26,RunOn
40,13.278,0,26,RunOn
41,13.627,0,26,RunOn
42,13.975,0,26,RunOn
43,14.324,0,26,RunOn
44,14.673,0,26,RunOn
45,15.022,0,26,RunOn
46,15.37,0,26,RunOn
47,15.719,0,26,RunOn
48,16.068,0,26,RunOn
49,16.417,0,26,RunOn
50,16.417,0,26,RunOn
51,16.497,0,26,RunOn
52,16.577,0,26,RunOn
53,16.657,0,26,RunOn
54,16.738,0,26,RunOn
55,16.818,0,26,RunOn
56,16.898,0,26,RunOn
57,16.978,0,26,RunOn
58,17.059,0,26,RunOn
59,17.139,0,26,RunOn
60,17.139,0,26,RunOn
61,16.985,0,26,RunOn
62,16.83,0,26,RunOn
63,16.676,0,26,RunOn
64,16.522,0,26,RunOn
65,16.367,0,26,RunOn
66,16.213,0,26,RunOn
67,16.059,0,26,RunOn
68,15.904,0,26,RunOn
69,15.75,0,26,RunOn
70,15.75,0,26,RunOn
71,16.383,0,26,RunOn
72,17.015,0,26,RunOn
73,17.648,0,26,RunOn
74,18.281,0,26,RunOn
75,18.914,0,26,RunOn
76,19.546,0,26,RunOn
77,20.179,0,26,RunOn
78,20.812,0,26,RunOn
79,21.444,0,26,RunOn
